alpha,lambda,fourier_order,run,episode,rewards,features,y_pred,scores,AMI,time,silhouette,calinski_harabasz,davies_bouldin,dunn_index,silhouette_norm,calinski_harabasz_norm,davies_bouldin_norm,dunn_index_norm
0.001,0.1,2,0,0,0.0,single__0__range_count__max_1__min_-1,"[ 3  8  8 14  8  8  5  5  5  5 14  8  8 14 14  8  8  8 14  5  5  3  8 14
 11 10 11  2  2  2  2  6  6  6  6  6  0  3  3  3  3  3  0  0  3  0  3  0
  0  3  3  0  3  0  0  0  0  3  3  3  0  0  1  0  2  0  0 14  9 14  1  3
 10 11 10 10 12 12 12 10 10 10  4  4  6  6 13  6  1  6  6  6  6  6  4  4
  2  2  2  2  2  1  6  2  2  2  6  6 10  9 12 12 10  9  9  0  9  9  6  6
  1  7  1  7  7  7  7  7  1  7  7  1 10 10 12 12 10 10 12  6 12  6  6  6
  1  7  7  7  7  7  7  7  7  1  7  7 10 12  0 11  9  9  9  9  9  9  0  0
 12 10  1 10  9  0  9  4  4  4  4  4  8 14  8  8 14 14  5  5  8  8 14 14
 14  8  3  8  8  5  5  5  5  1 14  8 11  6 11  2  2  1  2  2  6  2  6  6
  0  0 11  0  3  0  0  0  3  0  0  0  0  3  0  0  3  3  3  0  0  3  3  3
 10  0  0  0 10  9  0 14  1  1  1  3 10 10 12 13 10 10 12 10  6  6  4  6
 11  6  1  6  1  6  6  6  6  4  4  6  2  2  2  2  6  2  6  6  4  6  4  6
 10 10 10 12 12 10 10  9  6  6  6  6  1  1  7  7  7  7  7  1  7  1  1  7
 12 10 10 10 10 12 10 10  6  3  3  6  7  7  1  1  7  7  7  7  7  7  7  1
 10  9  0  9  0  0  0  9  0  9  0  9 10 11  9  9  9  9  9  0  9  9  0  4]",0.0,0.4664532527995636,0.8364877700805664,-0.6832837714084636,1.2135047978386344,1.0630204167462014,0.0070014854059021634,0.0,0.0,0.0,0.0
0.001,0.1,2,0,0,0.0,single__0__range_count__max_1__min_-1 | single__1__root_mean_square,"[ 3  8  8 14  8  8  5  5  5  5 14  8  8 14 14  8  8  8 14  5  5  3  8 14
 11 10 11  2  2  2  2  6  6  6  6  6  0  3  3  3  3  3  0  0  3  0  3  0
  0  3  3  0  3  0  0  0  0  3  3  3  0  0  1  0  2  0  0 14  9 14  1  3
 10 11 10 10 12 12 12 10 10 10  4  4  6  6 13  6  1  6  6  6  6  6  4  4
  2  2  2  2  2  1  6  2  2  2  6  6 10  9 12 12 10  9  9  0  9  9  6  6
  1  7  1  7  7  7  7  7  1  7  7  1 10 10 12 12 10 10 12  6 12  6  6  6
  1  7  7  7  7  7  7  7  7  1  7  7 10 12  0 11  9  9  9  9  9  9  0  0
 12 10  1 10  9  0  9  4  4  4  4  4  8 14  8  8 14 14  5  5  8  8 14 14
 14  8  3  8  8  5  5  5  5  1 14  8 11  6 11  2  2  1  2  2  6  2  6  6
  0  0 11  0  3  0  0  0  3  0  0  0  0  3  0  0  3  3  3  0  0  3  3  3
 10  0  0  0 10  9  0 14  1  1  1  3 10 10 12 13 10 10 12 10  6  6  4  6
 11  6  1  6  1  6  6  6  6  4  4  6  2  2  2  2  6  2  6  6  4  6  4  6
 10 10 10 12 12 10 10  9  6  6  6  6  1  1  7  7  7  7  7  1  7  1  1  7
 12 10 10 10 10 12 10 10  6  3  3  6  7  7  1  1  7  7  7  7  7  7  7  1
 10  9  0  9  0  0  0  9  0  9  0  9 10 11  9  9  9  9  9  0  9  9  0  4]",0.0,0.4664532527995636,0.8364877700805664,-0.543629268007176,2.0683089377066532,17.912795869085368,0.0037568592759874304,0.0,0.0,0.0,0.0
0.001,0.1,2,0,0,19.525783299941324,"single__0__fft_coefficient__attr_""angle""__coeff_14 | single__0__range_count__max_1__min_-1 | single__1__root_mean_square","[ 3  8  8 14  8  8  5  5  5  5 14  8  8 14 14  8  8  8 14  5  5  3  8 14
 11 10 11  2  2  2  2  6  6  6  6  6  0  3  3  3  3  3  0  0  3  0  3  0
  0  3  3  0  3  0  0  0  0  3  3  3  0  0  1  0  2  0  0 14  9 14  1  3
 10 11 10 10 12 12 12 10 10 10  4  4  6  6 13  6  1  6  6  6  6  6  4  4
  2  2  2  2  2  1  6  2  2  2  6  6 10  9 12 12 10  9  9  0  9  9  6  6
  1  7  1  7  7  7  7  7  1  7  7  1 10 10 12 12 10 10 12  6 12  6  6  6
  1  7  7  7  7  7  7  7  7  1  7  7 10 12  0 11  9  9  9  9  9  9  0  0
 12 10  1 10  9  0  9  4  4  4  4  4  8 14  8  8 14 14  5  5  8  8 14 14
 14  8  3  8  8  5  5  5  5  1 14  8 11  6 11  2  2  1  2  2  6  2  6  6
  0  0 11  0  3  0  0  0  3  0  0  0  0  3  0  0  3  3  3  0  0  3  3  3
 10  0  0  0 10  9  0 14  1  1  1  3 10 10 12 13 10 10 12 10  6  6  4  6
 11  6  1  6  1  6  6  6  6  4  4  6  2  2  2  2  6  2  6  6  4  6  4  6
 10 10 10 12 12 10 10  9  6  6  6  6  1  1  7  7  7  7  7  1  7  1  1  7
 12 10 10 10 10 12 10 10  6  3  3  6  7  7  1  1  7  7  7  7  7  7  7  1
 10  9  0  9  0  0  0  9  0  9  0  9 10 11  9  9  9  9  9  0  9  9  0  4]",19.525783299941324,0.4664532527995636,0.8364877700805664,-0.28844284156111927,33.188393218131544,7.485214945783706,0.004403649775308789,4.654539169607704,73.81219832470573,-0.23771155915956801,-0.6013158537077071
0.001,0.1,2,0,0,-18.2387326500292,"single__0__fft_coefficient__attr_""angle""__coeff_14 | single__0__range_count__max_1__min_-1 | single__1__root_mean_square | single__1__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0","[ 3  8  8 14  8  8  5  5  5  5 14  8  8 14 14  8  8  8 14  5  5  3  8 14
 11 10 11  2  2  2  2  6  6  6  6  6  0  3  3  3  3  3  0  0  3  0  3  0
  0  3  3  0  3  0  0  0  0  3  3  3  0  0  1  0  2  0  0 14  9 14  1  3
 10 11 10 10 12 12 12 10 10 10  4  4  6  6 13  6  1  6  6  6  6  6  4  4
  2  2  2  2  2  1  6  2  2  2  6  6 10  9 12 12 10  9  9  0  9  9  6  6
  1  7  1  7  7  7  7  7  1  7  7  1 10 10 12 12 10 10 12  6 12  6  6  6
  1  7  7  7  7  7  7  7  7  1  7  7 10 12  0 11  9  9  9  9  9  9  0  0
 12 10  1 10  9  0  9  4  4  4  4  4  8 14  8  8 14 14  5  5  8  8 14 14
 14  8  3  8  8  5  5  5  5  1 14  8 11  6 11  2  2  1  2  2  6  2  6  6
  0  0 11  0  3  0  0  0  3  0  0  0  0  3  0  0  3  3  3  0  0  3  3  3
 10  0  0  0 10  9  0 14  1  1  1  3 10 10 12 13 10 10 12 10  6  6  4  6
 11  6  1  6  1  6  6  6  6  4  4  6  2  2  2  2  6  2  6  6  4  6  4  6
 10 10 10 12 12 10 10  9  6  6  6  6  1  1  7  7  7  7  7  1  7  1  1  7
 12 10 10 10 10 12 10 10  6  3  3  6  7  7  1  1  7  7  7  7  7  7  7  1
 10  9  0  9  0  0  0  9  0  9  0  9 10 11  9  9  9  9  9  0  9  9  0  4]",1.2870506499121235,0.4664532527995636,0.8364877700805664,-0.2249324841079473,63.67905163046028,4.519851890731947,0.004144555061428948,1.7139167950497975,3.463517100612562,-0.6193663150520792,-0.6485976110659442
0.001,0.1,2,0,0,-0.6410379863265554,"single__0__cwt_coefficients__coeff_9__w_5__widths_(2, 5, 10, 20) | single__0__fft_coefficient__attr_""angle""__coeff_14 | single__0__range_count__max_1__min_-1 | single__1__root_mean_square | single__1__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0","[ 3  8  8 14  8  8  5  5  5  5 14  8  8 14 14  8  8  8 14  5  5  3  8 14
 11 10 11  2  2  2  2  6  6  6  6  6  0  3  3  3  3  3  0  0  3  0  3  0
  0  3  3  0  3  0  0  0  0  3  3  3  0  0  1  0  2  0  0 14  9 14  1  3
 10 11 10 10 12 12 12 10 10 10  4  4  6  6 13  6  1  6  6  6  6  6  4  4
  2  2  2  2  2  1  6  2  2  2  6  6 10  9 12 12 10  9  9  0  9  9  6  6
  1  7  1  7  7  7  7  7  1  7  7  1 10 10 12 12 10 10 12  6 12  6  6  6
  1  7  7  7  7  7  7  7  7  1  7  7 10 12  0 11  9  9  9  9  9  9  0  0
 12 10  1 10  9  0  9  4  4  4  4  4  8 14  8  8 14 14  5  5  8  8 14 14
 14  8  3  8  8  5  5  5  5  1 14  8 11  6 11  2  2  1  2  2  6  2  6  6
  0  0 11  0  3  0  0  0  3  0  0  0  0  3  0  0  3  3  3  0  0  3  3  3
 10  0  0  0 10  9  0 14  1  1  1  3 10 10 12 13 10 10 12 10  6  6  4  6
 11  6  1  6  1  6  6  6  6  4  4  6  2  2  2  2  6  2  6  6  4  6  4  6
 10 10 10 12 12 10 10  9  6  6  6  6  1  1  7  7  7  7  7  1  7  1  1  7
 12 10 10 10 10 12 10 10  6  3  3  6  7  7  1  1  7  7  7  7  7  7  7  1
 10  9  0  9  0  0  0  9  0  9  0  9 10 11  9  9  9  9  9  0  9  9  0  4]",0.6460126635855681,0.4664532527995636,0.8364877700805664,-0.27098615031773954,58.06702107441378,3.326860272830813,0.004469192449724083,0.8800593922799451,1.2820973677448226,-0.7018976384397347,-0.2800037441222302
0.001,0.1,2,0,0,0.4454591343283021,"single__0__fft_coefficient__attr_""real""__coeff_10 | single__0__cwt_coefficients__coeff_9__w_5__widths_(2, 5, 10, 20) | single__0__fft_coefficient__attr_""angle""__coeff_14 | single__0__range_count__max_1__min_-1 | single__1__root_mean_square | single__1__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0","[ 3  8  8 14  8  8  5  5  5  5 14  8  8 14 14  8  8  8 14  5  5  3  8 14
 11 10 11  2  2  2  2  6  6  6  6  6  0  3  3  3  3  3  0  0  3  0  3  0
  0  3  3  0  3  0  0  0  0  3  3  3  0  0  1  0  2  0  0 14  9 14  1  3
 10 11 10 10 12 12 12 10 10 10  4  4  6  6 13  6  1  6  6  6  6  6  4  4
  2  2  2  2  2  1  6  2  2  2  6  6 10  9 12 12 10  9  9  0  9  9  6  6
  1  7  1  7  7  7  7  7  1  7  7  1 10 10 12 12 10 10 12  6 12  6  6  6
  1  7  7  7  7  7  7  7  7  1  7  7 10 12  0 11  9  9  9  9  9  9  0  0
 12 10  1 10  9  0  9  4  4  4  4  4  8 14  8  8 14 14  5  5  8  8 14 14
 14  8  3  8  8  5  5  5  5  1 14  8 11  6 11  2  2  1  2  2  6  2  6  6
  0  0 11  0  3  0  0  0  3  0  0  0  0  3  0  0  3  3  3  0  0  3  3  3
 10  0  0  0 10  9  0 14  1  1  1  3 10 10 12 13 10 10 12 10  6  6  4  6
 11  6  1  6  1  6  6  6  6  4  4  6  2  2  2  2  6  2  6  6  4  6  4  6
 10 10 10 12 12 10 10  9  6  6  6  6  1  1  7  7  7  7  7  1  7  1  1  7
 12 10 10 10 10 12 10 10  6  3  3  6  7  7  1  1  7  7  7  7  7  7  7  1
 10  9  0  9  0  0  0  9  0  9  0  9 10 11  9  9  9  9  9  0  9  9  0  4]",1.0914717979138702,0.4664532527995636,0.8364877700805664,-0.31657000597923307,52.1701660532946,5.309959208698759,0.008037040729598698,0.47810967839057333,0.7728095318489355,-0.26292876114094504,2.8520392202750267
0.001,0.1,2,0,0,-0.29971623139748904,"single__0__fft_coefficient__attr_""real""__coeff_10 | single__0__cwt_coefficients__coeff_13__w_5__widths_(2, 5, 10, 20) | single__0__cwt_coefficients__coeff_9__w_5__widths_(2, 5, 10, 20) | single__0__fft_coefficient__attr_""angle""__coeff_14 | single__0__range_count__max_1__min_-1 | single__1__root_mean_square | single__1__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0","[ 3  8  8 14  8  8  5  5  5  5 14  8  8 14 14  8  8  8 14  5  5  3  8 14
 11 10 11  2  2  2  2  6  6  6  6  6  0  3  3  3  3  3  0  0  3  0  3  0
  0  3  3  0  3  0  0  0  0  3  3  3  0  0  1  0  2  0  0 14  9 14  1  3
 10 11 10 10 12 12 12 10 10 10  4  4  6  6 13  6  1  6  6  6  6  6  4  4
  2  2  2  2  2  1  6  2  2  2  6  6 10  9 12 12 10  9  9  0  9  9  6  6
  1  7  1  7  7  7  7  7  1  7  7  1 10 10 12 12 10 10 12  6 12  6  6  6
  1  7  7  7  7  7  7  7  7  1  7  7 10 12  0 11  9  9  9  9  9  9  0  0
 12 10  1 10  9  0  9  4  4  4  4  4  8 14  8  8 14 14  5  5  8  8 14 14
 14  8  3  8  8  5  5  5  5  1 14  8 11  6 11  2  2  1  2  2  6  2  6  6
  0  0 11  0  3  0  0  0  3  0  0  0  0  3  0  0  3  3  3  0  0  3  3  3
 10  0  0  0 10  9  0 14  1  1  1  3 10 10 12 13 10 10 12 10  6  6  4  6
 11  6  1  6  1  6  6  6  6  4  4  6  2  2  2  2  6  2  6  6  4  6  4  6
 10 10 10 12 12 10 10  9  6  6  6  6  1  1  7  7  7  7  7  1  7  1  1  7
 12 10 10 10 10 12 10 10  6  3  3  6  7  7  1  1  7  7  7  7  7  7  7  1
 10  9  0  9  0  0  0  9  0  9  0  9 10 11  9  9  9  9  9  0  9  9  0  4]",0.7917555665163811,0.4664532527995636,0.8364877700805664,-0.33427606936602683,44.13676105307404,6.938609091387866,0.009413420633285144,0.3221461339333178,0.3568240639881968,0.06195296525971151,2.5500050334037216
0.001,0.1,2,0,0,-0.4153331605009555,"single__0__fft_coefficient__attr_""real""__coeff_10 | single__0__cwt_coefficients__coeff_13__w_5__widths_(2, 5, 10, 20) | single__0__cwt_coefficients__coeff_9__w_5__widths_(2, 5, 10, 20) | single__0__fft_coefficient__attr_""angle""__coeff_14 | single__0__range_count__max_1__min_-1 | single__1__root_mean_square | single__1__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0 | single__1__kurtosis","[ 3  8  8 14  8  8  5  5  5  5 14  8  8 14 14  8  8  8 14  5  5  3  8 14
 11 10 11  2  2  2  2  6  6  6  6  6  0  3  3  3  3  3  0  0  3  0  3  0
  0  3  3  0  3  0  0  0  0  3  3  3  0  0  1  0  2  0  0 14  9 14  1  3
 10 11 10 10 12 12 12 10 10 10  4  4  6  6 13  6  1  6  6  6  6  6  4  4
  2  2  2  2  2  1  6  2  2  2  6  6 10  9 12 12 10  9  9  0  9  9  6  6
  1  7  1  7  7  7  7  7  1  7  7  1 10 10 12 12 10 10 12  6 12  6  6  6
  1  7  7  7  7  7  7  7  7  1  7  7 10 12  0 11  9  9  9  9  9  9  0  0
 12 10  1 10  9  0  9  4  4  4  4  4  8 14  8  8 14 14  5  5  8  8 14 14
 14  8  3  8  8  5  5  5  5  1 14  8 11  6 11  2  2  1  2  2  6  2  6  6
  0  0 11  0  3  0  0  0  3  0  0  0  0  3  0  0  3  3  3  0  0  3  3  3
 10  0  0  0 10  9  0 14  1  1  1  3 10 10 12 13 10 10 12 10  6  6  4  6
 11  6  1  6  1  6  6  6  6  4  4  6  2  2  2  2  6  2  6  6  4  6  4  6
 10 10 10 12 12 10 10  9  6  6  6  6  1  1  7  7  7  7  7  1  7  1  1  7
 12 10 10 10 10 12 10 10  6  3  3  6  7  7  1  1  7  7  7  7  7  7  7  1
 10  9  0  9  0  0  0  9  0  9  0  9 10 11  9  9  9  9  9  0  9  9  0  4]",0.37642240601542565,0.4664532527995636,0.8364877700805664,-0.2814340455163735,37.46443582313797,6.9924883849384525,0.007737277151654649,0.6359633327551594,0.04647866683919531,0.06808000499257072,0.8913276294599185
0.001,0.1,2,0,0,-0.19363458612086162,"single__0__fft_coefficient__attr_""real""__coeff_10 | single__0__cwt_coefficients__coeff_13__w_5__widths_(2, 5, 10, 20) | single__0__cwt_coefficients__coeff_9__w_5__widths_(2, 5, 10, 20) | single__0__fft_coefficient__attr_""angle""__coeff_14 | single__0__range_count__max_1__min_-1 | single__1__root_mean_square | single__1__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0 | single__1__kurtosis | single__1__ar_coefficient__coeff_4__k_10","[ 3  8  8 14  8  8  5  5  5  5 14  8  8 14 14  8  8  8 14  5  5  3  8 14
 11 10 11  2  2  2  2  6  6  6  6  6  0  3  3  3  3  3  0  0  3  0  3  0
  0  3  3  0  3  0  0  0  0  3  3  3  0  0  1  0  2  0  0 14  9 14  1  3
 10 11 10 10 12 12 12 10 10 10  4  4  6  6 13  6  1  6  6  6  6  6  4  4
  2  2  2  2  2  1  6  2  2  2  6  6 10  9 12 12 10  9  9  0  9  9  6  6
  1  7  1  7  7  7  7  7  1  7  7  1 10 10 12 12 10 10 12  6 12  6  6  6
  1  7  7  7  7  7  7  7  7  1  7  7 10 12  0 11  9  9  9  9  9  9  0  0
 12 10  1 10  9  0  9  4  4  4  4  4  8 14  8  8 14 14  5  5  8  8 14 14
 14  8  3  8  8  5  5  5  5  1 14  8 11  6 11  2  2  1  2  2  6  2  6  6
  0  0 11  0  3  0  0  0  3  0  0  0  0  3  0  0  3  3  3  0  0  3  3  3
 10  0  0  0 10  9  0 14  1  1  1  3 10 10 12 13 10 10 12 10  6  6  4  6
 11  6  1  6  1  6  6  6  6  4  4  6  2  2  2  2  6  2  6  6  4  6  4  6
 10 10 10 12 12 10 10  9  6  6  6  6  1  1  7  7  7  7  7  1  7  1  1  7
 12 10 10 10 10 12 10 10  6  3  3  6  7  7  1  1  7  7  7  7  7  7  7  1
 10  9  0  9  0  0  0  9  0  9  0  9 10 11  9  9  9  9  9  0  9  9  0  4]",0.18278781989456402,0.4664532527995636,0.8364877700805664,-0.2727530783382195,50.19121165619322,5.575647163053285,0.00457148786387009,0.6386394784802673,0.6161998389394797,-0.23812900524911057,-0.7618170430906014
0.001,0.1,2,0,0,-0.05197963683380771,"single__0__fft_coefficient__attr_""real""__coeff_10 | single__0__kurtosis | single__0__cwt_coefficients__coeff_13__w_5__widths_(2, 5, 10, 20) | single__0__cwt_coefficients__coeff_9__w_5__widths_(2, 5, 10, 20) | single__0__fft_coefficient__attr_""angle""__coeff_14 | single__0__range_count__max_1__min_-1 | single__1__root_mean_square | single__1__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0 | single__1__kurtosis | single__1__ar_coefficient__coeff_4__k_10","[ 3  8  8 14  8  8  5  5  5  5 14  8  8 14 14  8  8  8 14  5  5  3  8 14
 11 10 11  2  2  2  2  6  6  6  6  6  0  3  3  3  3  3  0  0  3  0  3  0
  0  3  3  0  3  0  0  0  0  3  3  3  0  0  1  0  2  0  0 14  9 14  1  3
 10 11 10 10 12 12 12 10 10 10  4  4  6  6 13  6  1  6  6  6  6  6  4  4
  2  2  2  2  2  1  6  2  2  2  6  6 10  9 12 12 10  9  9  0  9  9  6  6
  1  7  1  7  7  7  7  7  1  7  7  1 10 10 12 12 10 10 12  6 12  6  6  6
  1  7  7  7  7  7  7  7  7  1  7  7 10 12  0 11  9  9  9  9  9  9  0  0
 12 10  1 10  9  0  9  4  4  4  4  4  8 14  8  8 14 14  5  5  8  8 14 14
 14  8  3  8  8  5  5  5  5  1 14  8 11  6 11  2  2  1  2  2  6  2  6  6
  0  0 11  0  3  0  0  0  3  0  0  0  0  3  0  0  3  3  3  0  0  3  3  3
 10  0  0  0 10  9  0 14  1  1  1  3 10 10 12 13 10 10 12 10  6  6  4  6
 11  6  1  6  1  6  6  6  6  4  4  6  2  2  2  2  6  2  6  6  4  6  4  6
 10 10 10 12 12 10 10  9  6  6  6  6  1  1  7  7  7  7  7  1  7  1  1  7
 12 10 10 10 10 12 10 10  6  3  3  6  7  7  1  1  7  7  7  7  7  7  7  1
 10  9  0  9  0  0  0  9  0  9  0  9 10 11  9  9  9  9  9  0  9  9  0  4]",0.1308081830607563,0.4664532527995636,0.8364877700805664,-0.3063227716627829,45.55922077307983,5.573588672867099,0.005139777690480145,0.3552727602374699,0.35250678859608636,-0.22426983627020505,-0.4088166528607361
